"No.","Time","Delta"," TCP stream time","Source","Destination","Protocol","Length","Bytes in flight","TCP Segment Len","Info"
"1","0.000000","0.000000","0.000000000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","62","","0","tip2(3372)  >  http(80) [SYN] Seq=0 Win=8760 Len=0 MSS=1460 SACK_PERM"
"2","0.911310","0.911310","0.911310000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","62","","0","http(80)  >  tip2(3372) [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1380 SACK_PERM"
"3","0.911310","0.000000","0.000000000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [ACK] Seq=1 Ack=1 Win=9660 Len=0"
"4","0.911310","0.000000","0.000000000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","HTTP","533","479","479","GET /download.html HTTP/1.1 "
"5","1.472116","0.560806","0.560806000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","54","","0","http(80)  >  tip2(3372) [ACK] Seq=1 Ack=480 Win=6432 Len=0"
"6","1.682419","0.210303","0.210303000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1434","1380","1380","http(80)  >  tip2(3372) [ACK] Seq=1 Ack=480 Win=6432 Len=1380 [TCP PDU reassembled in 38]"
"7","1.812606","0.130187","0.130187000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [ACK] Seq=480 Ack=1381 Win=9660 Len=0"
"8","1.812606","0.000000","0.000000000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1434","1380","1380","http(80)  >  tip2(3372) [ACK] Seq=1381 Ack=480 Win=6432 Len=1380 [TCP PDU reassembled in 38]"
"9","2.012894","0.200288","0.200288000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [ACK] Seq=480 Ack=2761 Win=9660 Len=0"
"10","2.443513","0.430619","0.430619000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1434","1380","1380","http(80)  >  tip2(3372) [ACK] Seq=2761 Ack=480 Win=6432 Len=1380 [TCP PDU reassembled in 38]"
